# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
  S1       SLW-913535-2A-RA-D          188.95     35.53  PCM_synthseqr:Marquardt_rockerswitch_1803.5102
  S2       TS11-674-135-BK-100-RA-D     60.99     29.73  Samacsys:TS11674105BK160RAD
SW: 36
  SW1      MX hotswap                   36.45    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW2      MX hotswap                   52.99    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW3      MX hotswap                   69.53    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW4      MX hotswap                   86.15    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW5      MX hotswap                  102.66    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW6      MX hotswap                  119.23    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW7      MX hotswap                  135.72    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW8      MX hotswap                  152.28    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW9      MX hotswap                  168.93    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW10     MX hotswap                  185.41    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW11     MX hotswap                  201.93    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW12     MX hotswap                  218.56    174.32  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW13     MX hotswap                  235.08    174.31  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW14     MX hotswap                  251.60    174.39  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW15     MX hotswap                  268.15    174.34  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW16     MX hotswap                  284.73    174.38  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW17     MX hotswap                  151.68     65.12  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW18     MX hotswap                  169.84     65.10  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW19     MX hotswap                  187.86     65.07  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW20     MX hotswap                  205.97     65.07  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW21     MX hotswap                  224.04     65.16  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW22     MX hotswap                  242.24     65.07  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW23     MX hotswap                  260.24     65.07  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW24     MX hotswap                  278.44     65.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW25     MX hotswap                  151.66     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW26     MX hotswap                  169.86     86.18  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW27     MX hotswap                  187.94     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW28     MX hotswap                  205.94     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW29     MX hotswap                  224.03     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW30     MX hotswap                  242.24     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW31     MX hotswap                  260.24     86.14  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW32     MX hotswap                  278.44     86.16  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW33     MX hotswap                   59.00     86.00  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW34     MX hotswap                   81.02     86.08  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW35     MX hotswap                  103.10     86.00  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
  SW36     MX hotswap                  125.46     86.08  PCM_marbastlib-mx:SW_MX_HS_KS-2P02B01-01_1u
U: 5
  U1       CD74HC4067                  110.91    122.23  Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm
